"id","domain","jobTitle","level","source","jobDescription","mustSkills","plusSkills","scenes"
"JD-001","人工智能","人工智能算法工程师","初级","招聘平台A","面向企业数字化场景承担人工智能算法工程师职责，重点围绕算法研发与模型落地推进。主要职责包括：围绕Python、PyTorch、模型训练与评测开展能力建设与落地；参与需求澄清与技术方案评审，配合完成版本迭代与联调发布；关注可维护性并持续改进。我们希望候选人具备扎实的计算机基础与良好的学习能力，可在指导下独立完成开发与验证任务、熟悉Python、PyTorch、模型训练与评测；加分项：Docker、Git 与监控告警。","Python|PyTorch|模型训练与评测","Docker|Git|监控告警","企业数字化"
"JD-002","大数据","大数据数据工程师","中级","招聘平台B","本团队专注智能制造场景的大数据数据工程师方向，你将加入数据链路开发与平台建设项目组，负责Java、Spring Boot、Kafka 及 微服务相关能力的研发与交付，联动产品与测试共同推进数据平台建设，持续保障运行效率。希望你能独立负责模块设计、开发与联调，具备良好的工程实践与问题定位能力，掌握Java、Spring Boot、Kafka 及 微服务；具备Docker、Git 与监控告警经验者优先。","Java|Spring Boot|Kafka|微服务","Docker|Git|监控告警","智能制造"
"JD-003","智能系统","智能系统平台开发工程师","高级","行业白皮书","在智能系统与智慧城市融合演进的大背景下，智能系统平台开发工程师岗位的重要性持续凸显。本岗位围绕Spark、Flink、Hive 以及 数据仓库构建系统平台能力，推动平台能力建设与系统开发相关技术在业务中的标准化与规模化应用，支撑智能系统长期演进。我们期待候选人具备架构设计与技术规划能力，可主导方向落地、评审技术方案并指导团队成员、掌握Spark、Flink、Hive 以及 数据仓库。","Spark|Flink|Hive|数据仓库","Docker|Git|监控告警","智慧城市"
"JD-004","物联网","物联网智能系统工程师","初级","招聘平台A","面向企业数字化场景承担物联网智能系统工程师职责，重点围绕智能系统开发与设备协同推进。主要职责包括：围绕C++、ROS2、Linux、实时控制开展能力建设与落地；参与需求澄清与技术方案评审，配合完成版本迭代与联调发布；关注可维护性并持续改进。我们希望候选人具备扎实的计算机基础与良好的学习能力，可在指导下独立完成开发与验证任务、熟悉C++、ROS2、Linux、实时控制；加分项：Docker、Git 与监控告警。","C++|ROS2|Linux|实时控制","Docker|Git|监控告警","企业数字化"
"JD-005","人工智能","人工智能物联网解决方案工程师","中级","招聘平台B","加入智能制造方向的人工智能物联网解决方案工程师岗位，你将参与端云协同解决方案设计项目，承担MQTT、边缘网关 及 时序数据库相关模块的设计与实现，跨团队协作推进AI 工程化落地，对交付质量目标负责。期望你能独立负责模块设计、开发与联调，具备良好的工程实践与问题定位能力、熟悉MQTT、边缘网关 及 时序数据库；有Docker、Git 与监控告警相关经验者优先考虑。","MQTT|边缘网关|时序数据库","Docker|Git|监控告警","智能制造"
"JD-006","大数据","大数据机器学习工程师","高级","行业白皮书","在大数据与智慧城市融合演进的大背景下，大数据机器学习工程师岗位的重要性持续凸显。本岗位围绕RAG、向量数据库 以及 LLM应用开发构建数据驱动决策能力，推动机器学习应用与工程化相关技术在业务中的标准化与规模化应用，支撑大数据长期演进。我们期待候选人具备架构设计与技术规划能力，可主导方向落地、评审技术方案并指导团队成员、掌握RAG、向量数据库 以及 LLM应用开发。","RAG|向量数据库|LLM应用开发","Docker|Git|监控告警","智慧城市"
"JD-007","智能系统","智能系统数据治理工程师","初级","招聘平台A","在企业数字化场景下负责智能系统数据治理工程师相关工作，聚焦数据治理体系建设方向。岗位职责覆盖TensorFlow、Kubeflow、MLOps相关的建设与交付：参与需求与方案评审，跟进开发、测试与联调发布全流程，持续优化运行效率。任职要求：具备扎实的计算机基础与良好的学习能力，可在指导下独立完成开发与验证任务，熟悉TensorFlow、Kubeflow、MLOps。加分项：Docker、Git 与监控告警。","TensorFlow|Kubeflow|MLOps","Docker|Git|监控告警","企业数字化"
"JD-008","物联网","物联网边缘计算工程师","中级","招聘平台B","我们正在为智能制造方向组建物联网边缘计算工程师团队，你将深入边缘计算能力建设项目，独立承担Flink CDC、ClickHouse 及 数据质量相关模块的开发与交付，与产品、测试协同推进连接与数据落地，并对稳定性负责。要求能独立负责模块设计、开发与联调，具备良好的工程实践与问题定位能力，熟练使用Flink CDC、ClickHouse 及 数据质量；有Docker、Git 与监控告警经验者加分。","Flink CDC|ClickHouse|数据质量","Docker|Git|监控告警","智能制造"
"JD-009","人工智能","人工智能智能制造工程师","高级","行业白皮书","随着人工智能在智慧城市的深化应用，人工智能智能制造工程师成为支撑智能化应用的重要力量。该角色聚焦C++、CUDA、TensorRT 以及 推理优化的能力建设，促进相关技术在智慧城市场景的规模化落地，并为人工智能发展夯实基础。任职要求：具备架构设计与技术规划能力，可主导方向落地、评审技术方案并指导团队成员，掌握C++、CUDA、TensorRT 以及 推理优化。","C++|CUDA|TensorRT|推理优化","Docker|Git|监控告警","智慧城市"
"JD-010","大数据","大数据知识图谱工程师","初级","招聘平台A","在企业数字化场景下负责大数据知识图谱工程师相关工作，聚焦知识图谱构建与应用方向。岗位职责覆盖Java、Neo4j、图谱构建相关的建设与交付：参与需求与方案评审，跟进开发、测试与联调发布全流程，持续优化可观测性。任职要求：具备扎实的计算机基础与良好的学习能力，可在指导下独立完成开发与验证任务，熟悉Java、Neo4j、图谱构建。加分项：Docker、Git 与监控告警。","Java|Neo4j|图谱构建","Docker|Git|监控告警","企业数字化"
"JD-011","智能系统","智能系统算法工程师","中级","招聘平台B","本团队专注智能制造场景的智能系统算法工程师方向，你将加入算法研发与系统融合项目组，负责Python、PyTorch 及 模型训练与评测相关能力的研发与交付，联动产品与测试共同推进平台化能力建设，持续保障可观测性。希望你能独立负责模块设计、开发与联调，具备良好的工程实践与问题定位能力，掌握Python、PyTorch 及 模型训练与评测；具备Docker、Git 与监控告警经验者优先。","Python|PyTorch|模型训练与评测","Docker|Git|监控告警","智能制造"
"JD-012","物联网","物联网数据工程师","高级","行业白皮书","伴随物联网在智慧城市的快速发展，物联网数据工程师正成为设备接入的关键角色。岗位重点推进Java、Spring Boot、Kafka 以及 微服务的体系化建设，助力设备接入在业务中的标准化应用与物联网长期发展。任职要求：具备架构设计与技术规划能力，可主导方向落地、评审技术方案并指导团队成员，对Java、Spring Boot、Kafka 以及 微服务有深入理解。","Java|Spring Boot|Kafka|微服务","Docker|Git|监控告警","智慧城市"
"JD-013","人工智能","人工智能平台开发工程师","初级","招聘平台A","负责企业数字化场景下的人工智能平台开发工程师工作，方向聚焦平台化能力与工程效能建设。工作围绕Spark、Flink、Hive、数据仓库的工程化落地展开：承担需求分析、方案设计与开发联调，保障版本稳定发布，并持续打磨性能。任职要求：具备扎实的计算机基础与良好的学习能力，可在指导下独立完成开发与验证任务，对Spark、Flink、Hive、数据仓库有实际使用经验。加分项：Docker、Git 与监控告警。","Spark|Flink|Hive|数据仓库","Docker|Git|监控告警","企业数字化"
"JD-014","大数据","大数据智能系统工程师","中级","招聘平台B","加入智能制造方向的大数据智能系统工程师岗位，你将参与智能系统开发与实时控制项目，承担C++、ROS2、Linux 及 实时控制相关模块的设计与实现，跨团队协作推进数据处理链路落地，对性能目标负责。期望你能独立负责模块设计、开发与联调，具备良好的工程实践与问题定位能力、熟悉C++、ROS2、Linux 及 实时控制；有Docker、Git 与监控告警相关经验者优先考虑。","C++|ROS2|Linux|实时控制","Docker|Git|监控告警","智能制造"
